1.00 | 7001  $03055 $aCarreño, Antonio $d1938- $eed. | 7001  $03055 $aCarreño, Antonio $d1938- $eed.
1.00 | 1000  $02111 $aPlutarco $d45-125 | 7000  $06717 $aPlutarc $tAlexandre
0.29 | 7001  $012338 $aJabir ibn Aflah, Abu Muhammad $cS. XII $tDe astronomia libri ix | 1001  $aJabir ibn Aflah, Abu Muhammad $cS.XII
1.00 | 7001  $014457 $aCortés, Carles | 7001  $06761 $aCortés, Carlos
1.00 | 1001  $031386 $aTriviño Anzola, Consuelo | 1001  $aTriviño Anzola, Consuelo
1.00 | 7001  $04424 $aCañas Murillo, Jesús $eed. lit. | 7001  $04424 $aCañas Murillo, Jesús $eanot.
0.50 | 7001  $06181 $aBarrera, Alonso de la $eimp. | 7001  $025812 $aBarrera, Alfonso de la $eimp.
1.00 | 1001  $04424 $aCañas Murillo, Jesús | 7001  $04424 $aCañas Murillo, Jesús $eed. lit.
0.50 | 7001  $02772 $aMartín, José $eed. lit. | 1001  $0274 $aMartí, José $d1853-1895
* 10.10 | 1112  $031664 $aSimposio sobre el padre Feijoo y su siglo $n(2ð. $d1981. $cOviedo) | 1112  $033703 $aSimposio sobre el padre Feijoo y su siglo $n(1ð. $d1964. $cOviedo)
* 10.10 | 1001  $aEscalante, Eduard $d1834-1895 | 1001  $03706 $aEscalante, Eduard $d1854-1921
1.00 | 1001  $035908 $aRío, Alberto del | 1001  $aRisco, Alberto
1.00 | 1001  $08921 $aAñó Vidal, Carlos | 7001  $08921 $aAñó Vidal, Carlos $ecoaut.
1.00 | 1001  $02567 $aAguilar Piñal, Francisco | 7001  $02567 $aAguilar Piñal, Francisco $eed. lit.
1.00 | 1001  $014259 $aÍñigo-Madrigal, Luis | 1001  $014259 $aÍñigo-Madrigal, Luis
1.00 | 1001  $014259 $aÍñigo-Madrigal, Luis | 7001  $014259 $aÍñigo-Madrigal, Luis $edir.
1.00 | 7001  $014259 $aÍñigo-Madrigal, Luis $eed. lit. | 1001  $014259 $aÍñigo-Madrigal, Luis
1.00 | 7001  $014259 $aÍñigo-Madrigal, Luis $eed. lit. | 7001  $014259 $aÍñigo-Madrigal, Luis $edir.
0.50 | 1000  $aInocencio $bIII $cPapa | 1000  $aInocencio $bVIII $cPapa $d1432-1492
1.00 | 1001  $03116 $aBolaños Donoso, Piedad | 7001  $03116 $aBolaños Donoso, Piedad $eed. lit.
1.00 | 7001  $014603 $aOrga, José $eimp. | 1001  $033709 $aOrtega, José $d1921-1990
* 10.10 | 1112  $07257 $aFestival Internacional de Teatro Clásico $n(13°. $d1990. $cAlmagro) | 1112  $06865 $aFestival Internacional de Teatro Clásico $n(24°. $d2001. $cAlmagro)
0.50 | 1001  $aDíaz de Montalvo, Alfonso $d1405-1499 | 7001  $05961 $aDíaz de Montalvo, Alonso $d1405-1499 $ecomp.
0.50 | 1001  $05961 $aDíaz de Montalvo, Alonso $d1405-1499 | 1001  $aDíaz de Montalvo, Alfonso $d1405-1499
1.00 | 1001  $030840 $aMuñoz, Luis | 1001  $aMuñoz, Luis $d17°
* 10.10 | 1001  $aSan Pedro, Diego de $dfl. 1500 | 1001  $091 $aSan Pedro, Diego de $d¿1437?-¿1498?
* 10.10 | 1001  $aGuzmán, Luis de $dS.XVII | 1001  $aGuzmán, Luis de $d1544-1605
1.00 | 7001  $030400 $aDíez de Montalvo, Alfonso $ecomp. | 1001  $aDíaz de Montalvo, Alfonso $d1405-1499
1.00 | 7001  $04424 $aCañas Murillo, Jesús $edir. | 1001  $04424 $aCañas Murillo, Jesús
1.00 | 7001  $04424 $aCañas Murillo, Jesús $edir. | 7001  $04424 $aCañas Murillo, Jesús $eanot.
1.00 | 7001  $014715 $aFariña Miranda, Carmen | 7001  $014715 $aFariña Miranda, Carmen $eed.lit.
1.00 | 7000  $04469 $aOrtíz y Sanz, Joseph $etrad. | 1001  $06724 $aOrtiz y Sanz, José $d1739 -1822
1.00 | 7001  $0248 $aHernández de los Ríos, Ángel $eanot. | 7001  $015116 $aFernández de los Ríos, Ángel $d1821-1880
0.50 | 7001  $019097 $aEscuder, Pedro $eimp. | 7001  $07781 $aEscuer, Pedro $eed.
0.50 | 7001  $019097 $aEscuder, Pedro $eimp. | 7001  $aEscuer, Pedro
1.00 | 1001  $035876 $aRisco, Alberto | 1001  $035908 $aRío, Alberto del
1.00 | 1001  $08368 $aGonzález Pérez, Vicente | 1001  $08285 $aGozálvez Pérez, Vicente $d1942-
1.00 | 1001  $04424 $aCañas Murillo, Jesús | 1001  $04424 $aCañas Murillo, Jesús
1.00 | 1001  $04424 $aCañas Murillo, Jesús | 7001  $04424 $aCañas Murillo, Jesús $eanot.
1.00 | 1001  $04508 $aMadroñal Durán, Abraham | 1001  $04508 $aMadroñal Durán, Abraham
1.00 | 1001  $04508 $aMadroñal Durán, Abraham | 7001  $04508 $aMadroñal Durán, Abraham $ecoaut.
1.00 | 1001  $0492 $aFigueroa, Francisco de $d1536-1620 | 7001  $03300 $aFigueroa, Francisco A. de $eed. lit.
0.50 | 1001  $011871 $aGómez Matínez, Javier | 1001  $012896 $aGómez Martínez, Javier
1.00 | 1001  $0883 $aTerrones del Caño, Francisco $d1551-1613 | 1001  $aTerrones del Caño, Francisco $d1551-1613
1.00 | 1001  $aValero Juan, Eva M.® | 1001  $07968 $aValero Juan, Eva María
* 10.10 | 1001  $034234 $aCabrera, Miguel $d1945- | 1001  $06526 $aCabrera, Miguel $d1695-1768
1.00 | 7001  $03052 $aGonzález Cañal, Rafael $eed. lit. | 1001  $03052 $aGonzález Cañal, Rafael
1.00 | 7001  $03052 $aGonzález Cañal, Rafael $eed. lit. | 7001  $03052 $aGonzález Cañal, Rafael $eed. lit.
1.00 | 1001  $012684 $aOtiña, Pedro | 1001  $0927 $aOña, Pedro de $d1570-1643
1.00 | 7001  $03055 $aCarreño, Antonio $d1938- $eed. lit. | 7001  $03055 $aCarreño, Antonio $d1938- $eed.
1.00 | 1001  $aFernández, Juan | 1001  $aHernández, Juan $dS.XVI
0.50 | 7001  $06913 $aRegiomontanus, Joannes $d1436-1476 $tDisputationes contra Cremonensia deliramenta | 1001  $aRegiomontanus, Johannes $d1436-1476
0.50 | 7001  $03296 $aRiquer, Martí de $d1914- $eed. lit. | 1001  $aRiquer, Martín de $d1914-
1.00 | 7001  $014457 $aCortés, Carles $ecoord. | 7001  $06761 $aCortés, Carlos
0.67 | 1003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458 | 1003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458
0.67 | 1003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458 | 7003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458
0.67 | 7003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458 | 1003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458
0.67 | 7003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458 | 7003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458
* 10.10 | 1000  $aSem Tob de Carrión $dm.1370 | 1000  $0468 $aSem Tob de Carrión $dS. 13ð-1370
0.67 | 7003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458 $tCentiloquio de proverbios de gloriosa doctrina | 1003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458
0.67 | 7003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458 $tCentiloquio de proverbios de gloriosa doctrina | 7003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458
0.33 | 1001  $aFelip $bV $cRei d'Espanya, $d1683-1746 | 7000  $07134 $aFelip $bIV $cRei d'Espanya
1.00 | 7001  $05656 $aPérez, Miquel | 1001  $aPérez, Miguel, $dS.XVII
0.50 | 1001  $014943 $aLópez Grigera, Luisa $d1926- | 1001  $012107 $aLópez-Grigera, Luisa
1.00 | 7001  $07649 $aMartín, Carlos $edir. | 1000  $04480 $aMartínez, Carlos
1.00 | 1001  $010738 $aRubio, Alberto | 1001  $035908 $aRío, Alberto del
1.00 | 1000  $aDiógenes Laercio | 1000  $aDiògenes de Laerci
* 10.10 | 7001  $019393 $aCormellas, Sebastián de $d15?-1654 $eimp. | 1001  $aCormellas, Sebastián de $dm. 1654
0.50 | 1001  $aDurant, Jean Etienne $d1534-1589 | 1001  $aDuranti, Jean Etienne $d(1534-1589)
1.00 | 1000  $aAdrià $bVI $cPapa | 1000  $aAdriano $bVI $cPapa
1.00 | 7001  $04042 $aBastinos, Julián $d1852-1918 $eil. | 7001  $08016 $aBastinos, Juan $eed.
1.00 | 1101  $05277 $aFrancia | 1001  $05279 $aFrança
1.00 | 1001  $011793 $aAlvar,  Antonio | 7001  $aÁlvares, António
1.00 | 7001  $07941 $aLacavallería, Antonio de $eimp. | 7001  $aLacavelleria, Antonio,
1.00 | 7001  $02172 $aGarduño, E.P. $etrad. | 7001  $02172 $aGarduño, E.P. $etrad.
1.00 | 7001  $011762 $aRibera, Julián $ecoaut. | 7001  $06998 $aRibera, Juan de $d1565-1622 $eimp.
* 10.10 | 1001  $091 $aSan Pedro, Diego de $dfl. 1500 | 1001  $091 $aSan Pedro, Diego de $d¿1437?-¿1498?
0.50 | 1001  $08978 $aMarco Amorós, Mateo | 1001  $08619 $aMarcos Amorós, Mateo
1.00 | 7001  $07968 $aValero Juan, Eva M.® $edir. | 1001  $07968 $aValero Juan, Eva María
1.00 | 7001  $035575 $aTorá, José $etrad. | 7001  $014603 $aOrga, José $eimp.
1.00 | 1001  $03035 $aGarcía Castañeda, Salvador | 7001  $03035 $aGarcía Castañeda, Salvador $edir.
0.50 | 7001  $030631 $aVera Tassis y Villarroel, Juan de | 7001  $018311 $aVera Tasis y Villarroel, Juan de. $eed.
0.50 | 7001  $030631 $aVera Tassis y Villarroel, Juan de | 7001  $018311 $aVera Tasis y Villarroel, Juan de. $eed. lit.
0.50 | 1001  $0274 $aMartí, José $d1853-1895 | 7001  $02772 $aMartín, José $eed. lit.
1.00 | 7001  $033634 $aChouciño Fernández, Ana G. $edir. | 7001  $033634 $aChouciño Fernández, Ana G. $eed.lit.
1.00 | 1001  $017 $aBlasco Ibáñez, Vicente $d1867-1928 | 1001  $017 $aBlasco Ibáñez, Vicente $d1867-1928
0.50 | 1001  $aEscalante, Eduardo $d1834-1895 | 1001  $aEscalante, Eduard $d1834-1895
1.00 | 7001  $011762 $aRibera, Julián $ecoaut. | 7001  $06998 $aRibera, Juan de $d1565-1622 $eimp.
1.00 | 7001  $035575 $aTorá, José $etrad. | 1001  $aOrga, José de $d1738-1809
1.00 | 7001  $035575 $aTorá, José $etrad. | 7001  $017593 $aOrga, José de $d1738-1809 $eimp.
1.00 | 7001  $035575 $aTorá, José $etrad. | 7001  $017593 $aOrga, José de $d1738-1809 $eed.
1.00 | 7001  $035575 $aTorá, José $etrad. | 7001  $014603 $aOrga, José $eimp.
1.00 | 7001  $035575 $aTorá, José $etrad. | 7001  $017593 $aOrga, José de $d1738-1809 $eimp.
1.00 | 1001  $03800 $aObrega, Antonio de | 7001  $010995 $aOrtega, Antonio $edir.
1.00 | 1001  $03800 $aObrega, Antonio de | 1001  $010995 $aOrtega, Antonio
1.00 | 7001  $016742 $aFernández, Juan $eed. | 1001  $aHernández, Juan $dS.XVI
1.00 | 1001  $010683 $aRodríguez, Julián $d1968- | 1001  $08768 $aRodríguez, Juan
1.00 | 1001  $aRosete Niño, Pedro | 1001  $036146 $aRosete Niño, Pedro
1.00 | 1001  $aMéndez, Miguel | 1001  $aMéndez M., Miguel $d1930-
1.00 | 1001  $aMéndez, Miguel | 1001  $06816 $aMéndez M., Miguel $d1930-
1.00 | 7001  $04908 $aRiaño Rodríguez, Timoteo $eed.lit. | 1001  $04908 $aRiaño Rodríguez, Timoteo
1.00 | 7001  $016742 $aFernández, Juan $eed. | 1001  $aHernández, Juan $dS.XVI
1.00 | 1000  $aInocencio $bIV $cPapa | 1000  $aInocencio $bXI $cPapa $d1611-1689
1.00 | 1001  $036307 $aFigueroa, Pedro Pablo | 1001  $07948 $aFigueora, Pedro Pablo $d1857-1909
1.00 | 1001  $034748 $aLópez Bueno, Begoña | 1001  $034748 $aLópez Bueno, Begoña
1.00 | 7001  $04908 $aRiaño Rodríguez, Timoteo $edir. | 1001  $04908 $aRiaño Rodríguez, Timoteo
1.00 | 7001  $03052 $aGonzález Cañal, Rafael $ecoaut. | 7001  $03052 $aGonzález Cañal, Rafael $eed. lit.
* 10.10 | 1001  $aBelmonte Bermúdez, Luis de $d1587-1650 | 7001  $01915 $aBelmonte Bermúdez, Luis de $dS. 17° $ecoaut.
1.00 | 7001  $04424 $aCañas Murillo, Jesús $eanot. | 1001  $04424 $aCañas Murillo, Jesús
1.00 | 7001  $04424 $aCañas Murillo, Jesús $eanot. | 7001  $04424 $aCañas Murillo, Jesús $eanot.
1.00 | 1001  $0632 $aMuñoz, Luis $d17ð | 1001  $aMuñoz, Luis $d17°
1.00 | 7001  $014457 $aCortés, Carles $eed. lit. | 7001  $06761 $aCortés, Carlos
1.00 | 7001  $04908 $aRiaño Rodríguez, Timoteo $eed. lit. | 1001  $04908 $aRiaño Rodríguez, Timoteo
1.00 | 1001  $aBeña, Cristóbal de $d1777-1833? | 1001  $0374 $aBeña, Cristóbal de $d1777-1833?
0.67 | 1000  $04811 $aFernando $bV $cRey de España | 7000  $04811 $aFernando $bV $cRey de España
0.67 | 1000  $04811 $aFernando $bV $cRey de España | 1000  $04811 $aFernando $bV $cRey de España
1.00 | 1001  $09377 $aCorreo, Gustavo | 1001  $06594 $aCorrea, Gustavo
1.00 | 1000  $05992 $aAbraham ben Ezra $d1092-1167 | 1000  $aAbraham ben'Ezra $d1092-1167
0.33 | 1000  $04233 $aFernando $bI $cRey de Aragón | 7000  $04012 $aFernando $bII $cRey de Aragón
* 10.10 | 1001  $01915 $aBelmonte Bermúdez, Luis de $dS. 17° | 1001  $aBelmonte Bermúdez, Luis de $d1587-1650
1.00 | 1001  $03055 $aCarreño, Antonio $d1938- | 7001  $03055 $aCarreño, Antonio $d1938- $eed.
1.00 | 1001  $014635 $aMartos Núñez, Eloy $d1955- | 7001  $014635 $aMartos Núñez, Eloy $d1955- $ecoord.
1.00 | 1001  $014635 $aMartos Núñez, Eloy $d1955- | 1001  $014635 $aMartos Núñez, Eloy $d1955-
1.00 | 7001  $06871 $aZúñiga y Ontiveros, Felipe $d1717?-1793 $eimp. | 7001  $06871 $aZúñiga y Ontiveros, Felipe $d1717?-1793 $eimpr.
1.00 | 7001  $06871 $aZúñiga y Ontiveros, Felipe $d1717?-1793 $eimp. | 7001  $06871 $aZúñiga y Ontiveros, Felipe $d1717?-1793 $eimp.
1.00 | 1001  $04764 $aMillà, Luis $d1864-1946 | 1001  $07102 $aMatilla, Luis
0.67 | 7000  $06922 $aFelip $bII $cRei d'Espanya | 7000  $07134 $aFelip $bIV $cRei d'Espanya
1.00 | 7000  $06922 $aFelip $bII $cRei d'Espanya | 1001  $aFelip $bV $cRei d'Espanya, $d1683-1746
1.00 | 7001  $aOrga, José | 7001  $035575 $aTorá, José $etrad.
1.00 | 7001  $aOrga, José | 7001  $035575 $aTorá, José $etrad.
1.00 | 7001  $aOrga, José | 1001  $033709 $aOrtega, José $d1921-1990
1.00 | 1001  $aCañas Murillo, Jesús | 7001  $04424 $aCañas Murillo, Jesús $eed. lit.
1.00 | 1001  $aCañas Murillo, Jesús | 1001  $04424 $aCañas Murillo, Jesús
1.00 | 1001  $aCañas Murillo, Jesús | 7001  $04424 $aCañas Murillo, Jesús $edir.
1.00 | 1001  $aCañas Murillo, Jesús | 7001  $04424 $aCañas Murillo, Jesús $eanot.
0.50 | 1001  $aEscuder, Pedro | 7001  $07781 $aEscuer, Pedro $eed.
0.50 | 1001  $aEscuder, Pedro | 7001  $aEscuer, Pedro
* 10.10 | 1001  $aCormellas, Sebastián de $d15?-1654 | 1001  $aCormellas, Sebastián de $dm. 1654
0.50 | 7001  $030602 $aEscuer, Pedro $eed. | 7001  $019097 $aEscuder, Pedro $eimp.
0.50 | 7001  $030602 $aEscuer, Pedro $eed. | 1001  $aEscuder, Pedro
0.50 | 1001  $04566 $aBotrel, Jean- François | 1001  $04566 $aBotrel, Jean-François
1.00 | 1001  $030793 $aHerrero, Leonardo | 1001  $015331 $aHerrera, Leonardo
1.00 | 1001  $0240 $aAcuña, Rosario de $d1851-1923 | 1001  $0240 $aAcuña, Rosario de $d1851-1923
1.00 | 7001  $014635 $aMartos Núñez, Eloy $d1955- $edir. | 1001  $014635 $aMartos Núñez, Eloy $d1955-
1.00 | 1001  $05151 $aRosas, Juan Manuel de $d1793-1877 | 1001  $aRozas, Juan Manuel
1.00 | 1001  $05151 $aRosas, Juan Manuel de $d1793-1877 | 1001  $04863 $aRozas, Juan Manuel
1.00 | 1001  $05151 $aRosas, Juan Manuel de $d1793-1877 | 7001  $04863 $aRozas, Juan Manuel $eed.lit.
1.00 | 7001  $034369 $aHenríquez Ureña, Pedro $d1884-1946 $epr. | 1001  $034369 $aHenríquez Ureña, Pedro $d1884-1946
1.00 | 1001  $05461 $aChamberlin, Vernon A. | 1001  $09387 $aChamberfin, Vernon A.
0.67 | 7001  $03315 $aMendoza, Íñigo de $cFray $d1425-1507 | 1001  $03315 $aMendoza, Íñigo de $cFray $d1425-1507
1.00 | 1001  $09031 $aSánchez Hernández, José Luis | 7001  $013503 $aSánchez Fernández, José Luis
1.00 | 1001  $09031 $aSánchez Hernández, José Luis | 1001  $013503 $aSánchez Fernández, José Luis
1.00 | 1001  $017619 $aUreña, Rafael de $d1852-1930 | 1001  $017619 $aUreña, Rafael de $d1852-1930
0.50 | 1001  $06460 $aNunes, Pero, $d1502-1577 | 1001  $aNunes, Pedro $d1502-1578
0.50 | 7001  $03296 $aRiquer, Martí de $d1914- | 1001  $aRiquer, Martín de $d1914-
1.00 | 1001  $aVillanueva, Carlos $d1949- | 1001  $030777 $aVillanueva, Carlos A.
1.00 | 1001  $aVillanueva, Carlos $d1949- | 1001  $aVillanueva, Carlos A.
1.00 | 1001  $06816 $aMéndez M., Miguel $d1930- | 1001  $aMéndez, Miguel
* 10.10 | 1001  $aBelmonte Bermúdez, Luis de $dS. 17° | 1001  $aBelmonte Bermúdez, Luis de $d1587-1650
0.67 | 1000  $03952 $aCarlos $bI $cRey de España | 1000  $aCarlos $bIII $cRey de España
0.67 | 7000  $03952 $aCarlos $bI $cRey de España | 1000  $aCarlos $bIII $cRey de España
0.50 | 1001  $04566 $aBotrel, Jean- François | 1001  $04566 $aBotrel, Jean-François
0.50 | 1001  $018311 $aVera Tasis y Villarroel, Juan de. | 7001  $030631 $aVera Tassis y Villarroel, Juan de
1.00 | 1001  $05741 $aVillanueva, Carlos | 1001  $030777 $aVillanueva, Carlos A.
1.00 | 1001  $05741 $aVillanueva, Carlos | 1001  $aVillanueva, Carlos A.
1.00 | 7001  $05741 $aVillanueva, Carlos | 1001  $030777 $aVillanueva, Carlos A.
1.00 | 7001  $05741 $aVillanueva, Carlos | 1001  $aVillanueva, Carlos A.
* 10.10 | 1001  $aRodríguez, Juan $d(S.XVII) | 1001  $06773 $aRodríguez, Juan $d1961-
1.00 | 1001  $010851 $aRodríguez A., Ignacio | 7001  $06626 $aRodríguez, Ignacio $etrad.
1.00 | 1001  $07973 $aPano, Mariano | 7001  $02775 $aPaco, Mariano de $d1946- $eed. lit.
1.00 | 1001  $07973 $aPano, Mariano | 7001  $02775 $aPaco, Mariano de $d1946- $edir.
* 10.10 | 1001  $011958 $aHernández, José $d1944- | 1001  $0299 $aHernández, José $d1834-1886
1.00 | 1001  $011762 $aRibera, Julián | 7001  $06998 $aRibera, Juan de $d1565-1622 $eimp.
1.00 | 7001  $03117 $aPiñero Ramírez, Pedro M. $eed. lit. | 7001  $03117 $aPiñero Ramírez, Pedro M. $eed. lit.
* 10.10 | 1112  $06867 $aFestival Internacional de Teatro Clásico $n(21ð. $d1998. $cAlmagro) | 1112  $06864 $aFestival Internacional de Teatro Clásico $n(26ð. $d2003. $cAlmagro)
1.00 | 7001  $014635 $aMartos Núñez, Eloy $d1955- $eed.lit. | 1001  $014635 $aMartos Núñez, Eloy $d1955-
1.00 | 7001  $036146 $aRosete Niño, Pedro $ecoaut. | 1001  $036146 $aRosete Niño, Pedro
1.00 | 1001  $aChamberlin, Vernon A. | 1001  $09387 $aChamberfin, Vernon A.
1.00 | 1001  $aFigueroa, Francisco de $d1536-1620 | 7001  $03300 $aFigueroa, Francisco A. de $eed. lit.
1.00 | 7001  $014635 $aMartos Núñez, Eloy $d1955- $ecoaut. | 7001  $014635 $aMartos Núñez, Eloy $d1955- $ecoord.
1.00 | 7001  $014635 $aMartos Núñez, Eloy $d1955- $ecoaut. | 1001  $014635 $aMartos Núñez, Eloy $d1955-
1.00 | 7001  $014635 $aMartos Núñez, Eloy $d1955- $ecoaut. | 7001  $014635 $aMartos Núñez, Eloy $d1955- $eed.lit.
1.00 | 7001  $014635 $aMartos Núñez, Eloy $d1955- $ecoaut. | 7001  $014635 $aMartos Núñez, Eloy $d1955- $edir.
1.00 | 1001  $033634 $aChouciño Fernández, Ana G. | 7001  $033634 $aChouciño Fernández, Ana G. $edir.
0.50 | 1001  $033645 $aVàzquez Estévez, Anna | 1001  $011436 $aVázquez Estévez, Ana
0.50 | 1001  $033645 $aVàzquez Estévez, Anna | 7001  $011436 $aVázquez Estévez, Ana
1.00 | 7001  $014457 $aCortés, Carles $eed.lit. | 7001  $06761 $aCortés, Carlos
1.00 | 1001  $011257 $aBlázquez i Salom, Maciá | 1001  $08600 $aBlàzquez Salom, Macià $d1965-
1.00 | 1001  $013447 $aMartínez, José Luiz | 1001  $aMartínez, José Luis
1.00 | 1001  $013447 $aMartínez, José Luiz | 1001  $036242 $aMartínez, José Luis
1.00 | 7001  $05222 $aDevport, Roberto $eed. | 7001  $030659 $aDeuport, Roberto $eed.
1.00 | 7001  $07514 $aHernández, Juan $dS. XVI | 7001  $016742 $aFernández, Juan $eed.
1.00 | 7001  $07514 $aHernández, Juan $dS. XVI | 1001  $aFernández, Juan
1.00 | 7001  $07514 $aHernández, Juan $dS. XVI | 7001  $016742 $aFernández, Juan $eed.
1.00 | 7001  $04508 $aMadroñal Durán, Abraham $eed.lit. | 1001  $04508 $aMadroñal Durán, Abraham
1.00 | 1001  $014380 $aFriera Álvarez, Marta | 7001  $06852 $aFreira Álvarez, Marta
* 10.10 | 1001  $aSan Pedro, Diego de $d¿1437?-¿1498? | 1001  $091 $aSan Pedro, Diego de $dfl. 1500
* 10.10 | 1001  $aSan Pedro, Diego de $d¿1437?-¿1498? | 1001  $aSan Pedro, Diego de $dfl. 1500
1.00 | 1001  $0458 $aQuiñones de Benavente, Luis $d1589-1651 | 1001  $aQuiñones de Benavente, Luis $d1589-1651
1.00 | 1001  $0458 $aQuiñones de Benavente, Luis $d1589-1651 | 1001  $0458 $aQuiñones de Benavente, Luis $d1589-1651
1.00 | 7001  $07941 $aLacavallería, Antonio de $eimp. | 7001  $aLacavelleria, Antonio,
0.50 | 1001  $01995 $aGil, Isidoro | 7001  $02064 $aGil, Isidro $eil.
1.00 | 7001  $04424 $aCañas Murillo, Jesús $eed.lit. | 7001  $04424 $aCañas Murillo, Jesús $eed. lit.
1.00 | 7001  $04424 $aCañas Murillo, Jesús $eed.lit. | 1001  $04424 $aCañas Murillo, Jesús
1.00 | 7001  $04424 $aCañas Murillo, Jesús $eed.lit. | 7001  $04424 $aCañas Murillo, Jesús $edir.
1.00 | 7001  $04424 $aCañas Murillo, Jesús $eed.lit. | 7001  $04424 $aCañas Murillo, Jesús $eanot.
1.00 | 1001  $08345 $aRiaño, Juan Facundo $d1829-1901 | 1001  $08345 $aRiaño, Juan Facundo $d1829-1901
1.00 | 7001  $07344 $aRodríguez Rodríguez, Begoña $eed. lit. | 7001  $07344 $aRodríguez Rodríguez, Begoña $ecoaut.
1.00 | 1001  $035505 $aNúñez Rivera, J. Valentín | 1001  $035505 $aNúñez Rivera, J. Valentín
1.00 | 1001  $aCastañeda y Alcover, Vicente | 7001  $030716 $aCastañeda y Alcover, Vicente $ecoaut.
1.00 | 1001  $aCastañeda y Alcover, Vicente | 1001  $030716 $aCastañeda y Alcover, Vicente
