0.80 | 7001  $032365 $aGiunta, Luca Antonio $bII $eimp. | 7001  $031763 $aGiunta, Luca Antonio, $bI $eimp
1.00 | 7001  $015828 $aCornarius, Ianus, $etrad. | 7001  $020286 $aCornarius, Janus $d(1500-1558), $etrad.
1.00 | 7001  $030384 $aMaris,  Antonio de $eimp. | 7001  $017536 $aMarín, Antonio,
1.00 | 1001  $04171 $aPèz, José Antonio $d1790-1873 | 7001  $022225 $aPérez, José Antonio
1.00 | 1001  $04171 $aPèz, José Antonio $d1790-1873 | 1001  $022225 $aPérez, José Antonio
0.29 | 7001  $012338 $aJabir ibn Aflah, Abu Muhammad $cS. XII $tDe astronomia libri ix | 1001  $aJabir ibn Aflah, Abu Muhammad $cS.XII
0.50 | 7000  $027892 $aPío VII, $cPapa | 1000  $02278 $aPío $bII $cPapa $d1404-1464
1.00 | 1001  $026372 $aAntonio, Francisco (S.I.) | 7001  $026692 $aAntonio, Francesco (S.I.)
1.00 | 7001  $026372 $aAntonio, Francisco (S.I.) | 7001  $026692 $aAntonio, Francesco (S.I.)
0.50 | 7001  $021148 $aPaganinis, Paganinus de, $eed.imp.lib. | 7001  $06010 $aPaganini, Paganinus de $eimp.
1.00 | 7001  $04424 $aCañas Murillo, Jesús $eed. lit. | 7001  $04424 $aCañas Murillo, Jesús $eanot.
1.00 | 7001  $033324 $aHinestrosa y Montemayor, Antonio de | 7001  $025273 $aHenestrosa y Montemayor, Antonio de
0.50 | 7001  $017834 $aQuentel, Heinrich, $eed.imp.lib | 7001  $032121 $aQuentell, Heinrich $eimp.
0.50 | 7001  $023333 $aPayen, Thibaud $eimp. | 7001  $019257 $aPayén, Thibauld, $eimp. $c(Lyon)
1.00 | 7001  $011842 $aUrqullu, Manuel de $etrad. | 7001  $033042 $aUrgullu, Manuel, $etrad.
1.00 | 1001  $011336 $aPellicer de Ossau i Tovar, José $d1602-1679 | 1001  $011336 $aPellicer de Ossau y Tovar, José $d1602-1679
* 10.10 | 7000  $028821 $aMariana, $cReina Consorte de Felipe IV, Rey de España, $d1634-1674 | 7000  $025415 $aMariana, $cReina consorte de Felipe IV, Rey de España, $d1634-1696
* 10.10 | 1000  $028821 $aMariana, $cReina Consorte de Felipe IV, Rey de España, $d1634-1674 | 7000  $025415 $aMariana, $cReina consorte de Felipe IV, Rey de España, $d1634-1696
1.00 | 7001  $032387 $aFranceschini, Francesco $eEd. | 7001  $019989 $aFranceschi, Francesco de $d(fl.1561-1599), $eed.
1.00 | 7001  $019998 $aKofman, Cristòfol, $eed.imp.lib. | 7001  $06337 $aCofman, Cristofol $eimp.
0.50 | 7001  $015840 $aGrynaeus, Simon, $d1493-1541. $ecolab. | 7001  $034714 $aGrynäus, Simon, $d1493-1541
1.00 | 1001  $030430 $aNaval, Juan. | 7001  $029811 $aNadal, Juan
1.00 | 7001  $035279 $aRivadaneyra, M. | 7001  $012486 $aRivadeneyra, M. $eimp.
1.00 | 1001  $035908 $aRío, Alberto del | 1001  $aRisco, Alberto
0.50 | 7001  $032124 $aGaza, Teodoro, $dca. 1400-ca. 1475 $etr. | 1001  $020944 $aGaza, Teodor $d(1398-1475)
0.50 | 7001  $016427 $aScoto, Girolamo, $eimp | 7001  $020285 $aScotto, Girolamo, $eed.imp.lib.
1.00 | 1000  $027858 $aInocencio $bIII $cPapa | 1000  $029218 $aInocencio $bXII, $cPapa
0.50 | 1000  $027858 $aInocencio $bIII $cPapa | 1000  $aInocencio $bVIII $cPapa $d1432-1492
